amazon.aws.aws_ec2                                      EC2 inventory sourc...
amazon.aws.aws_rds                                      RDS instance invent...
ansible.builtin.advanced_host_list                      Parses a 'host list...
ansible.builtin.auto                                    Loads and executes ...
ansible.builtin.constructed                             Uses Jinja2 to cons...
ansible.builtin.generator                               Uses Jinja2 to cons...
ansible.builtin.host_list                               Parses a 'host list...
ansible.builtin.ini                                     Uses an Ansible INI...
ansible.builtin.script                                  Executes an invento...
ansible.builtin.toml                                    Uses a specific TOM...
ansible.builtin.yaml                                    Uses a specific YAM...
awx.awx.controller                                      Ansible dynamic inv...
azure.azcollection.azure_rm                             Azure Resource Mana...
cloudscale_ch.cloud.inventory                           cloudscale.ch inven...
community.aws.aws_mq                                    MQ broker inventory...
community.digitalocean.digitalocean                     DigitalOcean Invent...
community.dns.hetzner_dns_records                       Create inventory fr...
community.dns.hosttech_dns_records                      Create inventory fr...
community.docker.docker_containers                      Ansible dynamic inv...
community.docker.docker_machine                         Docker Machine inve...
community.docker.docker_swarm                           Ansible dynamic inv...
community.general.cobbler                               Cobbler inventory s...
community.general.gitlab_runners                        Ansible dynamic inv...
community.general.icinga2                               Icinga2 inventory s...
community.general.linode                                Ansible dynamic inv...
community.general.lxd                                   Returns Ansible inv...
community.general.nmap                                  Uses nmap to find h...
community.general.online                                Scaleway (previousl...
community.general.opennebula                            OpenNebula inventor...
community.general.proxmox                               Proxmox inventory s...
community.general.scaleway                              Scaleway inventory ...
community.general.stackpath_compute                     StackPath Edge Comp...
community.general.virtualbox                            virtualbox inventor...
community.general.xen_orchestra                         Xen Orchestra inven...
community.hrobot.robot                                  Hetzner Robot inven...
community.libvirt.libvirt                               Libvirt inventory s...
community.okd.openshift                                 OpenShift inventory...
community.vmware.vmware_host_inventory                  VMware ESXi hostsys...
community.vmware.vmware_vm_inventory                    VMware Guest invent...
community.zabbix.zabbix_inventory                       Zabbix Inventory Pl...
dellemc.openmanage.ome_inventory                        Group inventory plu...
google.cloud.gcp_compute                                Google Cloud Comput...
hetzner.hcloud.hcloud                                   Ansible dynamic inv...
infoblox.nios_modules.nios_inventory                    Infoblox inventory ...
kubernetes.core.k8s                                     Kubernetes (K8s) in...
microsoft.ad.ldap                                       Inventory plugin fo...
netbox.netbox.nb_inventory                              NetBox inventory so...
ngine_io.cloudstack.instance                            Apache CloudStack i...
openstack.cloud.openstack                               OpenStack inventory...
ovirt.ovirt.ovirt                                       oVirt inventory sou...
t_systems_mms.icinga_director.icinga_director_inventory Returns Ansible inv...
telekom_mms.icinga_director.icinga_director_inventory   Returns Ansible inv...
theforeman.foreman.foreman                              Foreman inventory s...
vultr.cloud.vultr                                       Retrieves list of i...
